name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
cherry blossom,star-crossed,Kacey Musgraves,2021-09-10,184000,57,0.119,0.641,0.818,0.000444,0.168,-6.757,0.0453,109.967,4
Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,OMI,2015-10-16,180560,72,0.141,0.78,0.68,1.2e-05,0.138,-6.081,0.0305,118.026,4
Cherry (feat. Hayley Kiyoko),Cherry (feat. Hayley Kiyoko),FLETCHER,2021-11-17,152511,60,0.202,0.812,0.585,0.00216,0.245,-4.644,0.0615,118.037,4
Cherish - Single Version,Collected,Kool & The Gang,2018-05-25,238000,70,0.135,0.643,0.568,0.0,0.195,-9.903,0.0222,95.17,4
Cherish,I've IVE,IVE,2023-04-10,194680,64,0.306,0.853,0.654,4.71e-06,0.11,-5.312,0.0669,112.997,4
Cherry Bomb,The Runaways - The Mercury Albums Anthology,The Runaways,2010-01-01,138706,57,0.0455,0.501,0.813,4.75e-05,0.131,-8.192,0.0638,136.59,4
Cherry Blossom,Blue Banisters,Lana Del Rey,2021-10-22,197933,62,0.982,0.413,0.119,0.00219,0.112,-12.499,0.0348,111.11,4
Space Song,Depression Cherry,Beach House,2015-08-28,320466,83,0.229,0.508,0.792,0.124,0.145,-7.311,0.0297,147.067,4
Cherry Coke,The Beginning,Yeeun,2023-04-13,168000,51,0.0306,0.779,0.793,1.33e-05,0.117,-3.902,0.131,140.006,4
Say Hey (I Love You) (feat. Cherine Tanya Anderson),All Rebel Rockers,Michael Franti & Spearhead,2008-09-09,235760,69,0.0376,0.738,0.983,5.98e-06,0.183,-4.374,0.0852,92.998,4
Play That Funky Music,Wild Cherry,Wild Cherry,1976,300000,75,0.0435,0.814,0.672,0.0,0.061,-12.068,0.0619,109.394,4
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,226240,78,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,111.485,4
Save Tonight,Desireless,Eagle-Eye Cherry,1998-07-13,239226,71,9.24e-05,0.547,0.693,5.46e-05,0.113,-8.786,0.0353,119.567,4
You Raise Me Up,Closer,Josh Groban,2003-11-11,292333,59,0.673,0.25,0.136,0.000157,0.107,-12.162,0.037,118.086,4
Johanna (Act 2 Sequence) - 2023 Broadway Cast Recording,Johanna (Act 2 Sequence) [2023 Broadway Cast Recording],Josh Groban,2023-06-09,321391,57,0.788,0.438,0.233,0.000256,0.191,-12.37,0.0394,160.974,4
"All I Ask of You (from ""The Phantom of the Opera"") [with Kelly Clarkson]",Stages (Deluxe),Josh Groban,2015-04-20,239453,59,0.912,0.223,0.268,0.0,0.108,-9.468,0.0304,90.971,4
The Ballad of Sweeney Todd (Opening) [2023 Broadway Cast Recording],The Ballad of Sweeney Todd (Opening) [2023 Broadway Cast Recording],Josh Groban,2023-05-08,178928,56,0.699,0.631,0.368,1.11e-06,0.149,-10.282,0.0612,120.48,4
Evermore,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,189477,57,0.794,0.219,0.362,1.03e-05,0.112,-8.615,0.0327,89.819,1
To Where You Are,Josh Groban,Josh Groban,2001-11-20,233893,57,0.651,0.286,0.322,0.000335,0.0994,-9.288,0.0317,124.96,4
Granted,Bridges (Deluxe),Josh Groban,2018-09-21,279600,46,0.575,0.465,0.558,0.000734,0.139,-6.369,0.0293,123.984,4
